tournament_id,tournament_name,gender,board_type,miniboard_url,results_url
29481,Golfweek NGI Men,Men,team,https://score.golfstat.com/miniboards/tleaderboard_29481.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29481
29481,Golfweek NGI Men,Men,player,https://score.golfstat.com/miniboards/pleaderboard_29481.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29481
29480,Golfweek NGI Women,Women,team,https://score.golfstat.com/miniboards/tleaderboard_29480.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29480
29480,Golfweek NGI Women,Women,player,https://score.golfstat.com/miniboards/pleaderboard_29480.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29480
29479,Stampede at the Creek,Women,team,https://score.golfstat.com/miniboards/tleaderboard_29479.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29479
29479,Stampede at the Creek,Women,player,https://score.golfstat.com/miniboards/pleaderboard_29479.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29479
29470,53rd Camp Lejeune Intercollegiate,Men,team,https://score.golfstat.com/miniboards/tleaderboard_29470.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29470
29470,53rd Camp Lejeune Intercollegiate,Men,player,https://score.golfstat.com/miniboards/pleaderboard_29470.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29470
29471,4th Camp Lejeune Women's Intercollegiate,Women,team,https://score.golfstat.com/miniboards/tleaderboard_29471.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29471
29471,4th Camp Lejeune Women's Intercollegiate,Women,player,https://score.golfstat.com/miniboards/pleaderboard_29471.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29471
29477,Golfweek/Stifel Mens Spring Challenge,Men,team,https://score.golfstat.com/miniboards/tleaderboard_29477.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29477
29477,Golfweek/Stifel Mens Spring Challenge,Men,player,https://score.golfstat.com/miniboards/pleaderboard_29477.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29477
29478,Golfweek/Stifel Womens Spring Challenge,Women,team,https://score.golfstat.com/miniboards/tleaderboard_29478.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29478
29478,Golfweek/Stifel Womens Spring Challenge,Women,player,https://score.golfstat.com/miniboards/pleaderboard_29478.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29478
29428,2026 Palm Valley Classic,Men,team,https://score.golfstat.com/miniboards/tleaderboard_29428.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29428
29428,2026 Palm Valley Classic,Men,player,https://score.golfstat.com/miniboards/pleaderboard_29428.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29428
29445,YSU Spring Invitational,Women,team,https://score.golfstat.com/miniboards/tleaderboard_29445.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29445
29445,YSU Spring Invitational,Women,player,https://score.golfstat.com/miniboards/pleaderboard_29445.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29445
29427,2026 Women's Palm Valley Classic,Women,team,https://score.golfstat.com/miniboards/tleaderboard_29427.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29427
29427,2026 Women's Palm Valley Classic,Women,player,https://score.golfstat.com/miniboards/pleaderboard_29427.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29427
29476,2026 Lynn Invite @ Boca Woods,Women,team,https://score.golfstat.com/miniboards/tleaderboard_29476.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29476
29476,2026 Lynn Invite @ Boca Woods,Women,player,https://score.golfstat.com/miniboards/pleaderboard_29476.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29476
29472,The Silicon Valley Showcase,Women,team,https://score.golfstat.com/miniboards/tleaderboard_29472.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29472
29472,The Silicon Valley Showcase,Women,player,https://score.golfstat.com/miniboards/pleaderboard_29472.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29472
29474,The Florida State Match Up,Women,team,https://score.golfstat.com/miniboards/tleaderboard_29474.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29474
29474,The Florida State Match Up,Women,player,https://score.golfstat.com/miniboards/pleaderboard_29474.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29474
29475,The Seminole Intercollegiate,Men,team,https://score.golfstat.com/miniboards/tleaderboard_29475.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29475
29475,The Seminole Intercollegiate,Men,player,https://score.golfstat.com/miniboards/pleaderboard_29475.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29475
29469,Bruin Wave Invitational,Women,team,https://score.golfstat.com/miniboards/tleaderboard_29469.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29469
29469,Bruin Wave Invitational,Women,player,https://score.golfstat.com/miniboards/pleaderboard_29469.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29469
29449,RJGA Stockton Invitational,Men,team,https://score.golfstat.com/miniboards/tleaderboard_29449.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29449
29449,RJGA Stockton Invitational,Men,player,https://score.golfstat.com/miniboards/pleaderboard_29449.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29449
