type_code,event_id,dates,event,url,year,event_family
I,28252,Dec 16 - Dec 18 2025,The Elite Invitational Boys,https://score.golfstat.com/eventlist.cfm?type=I&eventid=28252,2025,The Elite Invitational
I,28253,Dec 16 - Dec 18 2025,The Elite Invitational Girls,https://score.golfstat.com/eventlist.cfm?type=I&eventid=28253,2025,The Elite Invitational
I,28205,Jun 08 - Jun 10 2025,2025 WIAA Boys Championship - D1,https://score.golfstat.com/eventlist.cfm?type=I&eventid=28205,2025,WIAA
I,28122,Nov 01 - Nov 03 2024,The Elite Invitational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=28122,2024,The Elite Invitational
I,28123,Nov 01 - Nov 03 2024,The Elite Invitational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=28123,2024,The Elite Invitational
I,27992,Jun 03 - Jun 04 2024,WIAA Division Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=27992,2024,WIAA
I,27899,Apr 15 - Apr 16 2024,Texas Boys UIL Region II,https://score.golfstat.com/eventlist.cfm?type=I&eventid=27899,2024,Other
I,27901,Apr 15 - Apr 16 2024,Texas Girls UIL Regional II,https://score.golfstat.com/eventlist.cfm?type=I&eventid=27901,2024,Other
I,27279,Nov 03 - Nov 05 2023,The Elite Invitational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=27279,2023,The Elite Invitational
I,27282,Nov 03 - Nov 05 2023,The Elite Invitational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=27282,2023,The Elite Invitational
I,27363,Nov 03 - Nov 03 2023,The Elite Player-Am,https://score.golfstat.com/eventlist.cfm?type=I&eventid=27363,2023,Other
I,27000,Oct 09 - Oct 10 2023,WIAA State Girls Golf Champion,https://score.golfstat.com/eventlist.cfm?type=I&eventid=27000,2023,WIAA
I,26936,Jun 05 - Jun 06 2023,WIAA Boy's State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=26936,2023,WIAA
I,26930,May 15 - May 16 2023,2023 OSAA State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=26930,2023,Other
I,26608,May 08 - May 09 2023,Oklahoma 6A Boys State High School Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=26608,2023,Other
I,26346,Apr 22 - Apr 23 2023,Academy Cup,https://score.golfstat.com/eventlist.cfm?type=I&eventid=26346,2023,Other
I,26531,Apr 10 - Apr 10 2023,Tiger Invitational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=26531,2023,Other
I,26109,Nov 11 - Nov 13 2022,The Elite Invitational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=26109,2022,The Elite Invitational
I,25205,Oct 10 - Oct 11 2022,WIAA Girls Golf Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=25205,2022,WIAA
I,24326,Jun 06 - Jun 07 2022,WIAA Boy's State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=24326,2022,WIAA
I,24312,May 16 - May 17 2022,2022 OSAA State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=24312,2022,Other
I,24325,May 09 - May 10 2022,OSAA 6A Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=24325,2022,Other
I,24018,Apr 11 - Apr 11 2022,Tiger Invitiational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=24018,2022,Other
I,23894,Mar 22 - Mar 22 2022,6A Oklahoma State Boys Preveiw,https://score.golfstat.com/eventlist.cfm?type=I&eventid=23894,2022,Other
I,23621,Jan 02 - Jan 06 2022,2022 Junior Orange Bowl International Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=23621,2022,Junior Orange Bowl
