tournament_id,event,course,location,dates,position,player,affiliation,to_par,today,r1,r2,r3,r4,total,round_sum,total_delta,source_file
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T1,Payton Haugen,Brookfield East,-6,-2,68,70,,,138,138,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T1,McKenna Nelson,Beaver Dam/Wayland Academy,-6,+1,65,73,,,138,138,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",3,Abby Henriksen,DeForest,+3,-1,76,71,,,147,147,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",4,Daniella Honkamp,Whitefish Bay,+5,+4,73,76,,,149,149,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",5,Zoe Gryniewicz,Divine Savior Holy Angels,+10,+5,77,77,,,154,154,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",6,Annika Jafferis,Middleton,+12,+9,75,81,,,156,156,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",7,Ava Roesch,Divine Savior Holy Angels,+13,+7,78,79,,,157,157,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T8,Allison Guiser,Arrowhead,+14,+6,80,78,,,158,158,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T8,Karalyn Skinner,Altoona/Regis,+14,+9,77,81,,,158,158,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",10,Charlie Clinefelter,Kaukauna,+15,+8,79,80,,,159,159,0,raw/junior_event_pages/player_29296.html
