tournament_id,event,course,location,dates,position,team,to_par,today,r1,r2,r3,r4,total,round_sum,total_delta,source_file
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",1,Divine Savior Holy Angels,+61,+29,320,317,,,637,637,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",2,Prescott,+90,+43,335,331,,,666,666,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",3,Middleton,+91,+53,326,341,,,667,667,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",4,Arrowhead,+99,+48,339,336,,,675,675,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",5,Brookfield East,+104,+56,336,344,,,680,680,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",6,DeForest,+105,+53,340,341,,,681,681,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",7,Kaukauna,+117,+61,344,349,,,693,693,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",8,Hudson,+124,+63,349,351,,,700,700,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",9,Bay Port,+134,+63,359,351,,,710,710,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",10,Westosha Central,+153,+79,362,367,,,729,729,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",11,Brookfield Central,+168,+74,382,362,,,744,744,0,raw/junior_event_pages/team_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",12,Janesville Craig,+190,+89,389,377,,,766,766,0,raw/junior_event_pages/team_29296.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",1,Edgewood,+180,+92,376,380,,,756,756,0,raw/junior_event_pages/team_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",2,Spooner,+184,+110,362,398,,,760,760,0,raw/junior_event_pages/team_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",3,Catholic Memorial,+213,+112,389,400,,,789,789,0,raw/junior_event_pages/team_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",4,Seymour,+217,+105,400,393,,,793,793,0,raw/junior_event_pages/team_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",5,Hayward,+263,+148,403,436,,,839,839,0,raw/junior_event_pages/team_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",6,Freedom,+289,+146,431,434,,,865,865,0,raw/junior_event_pages/team_29297.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",1,Marquette,+8,+12,284,300,,,584,584,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",2,Hudson,+27,+15,300,303,,,603,603,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",3,Middleton,+33,+17,304,305,,,609,609,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",T4,Oconomowoc,+41,+25,304,313,,,617,617,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",T4,Edgerton,+41,+15,314,303,,,617,617,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",6,DeForest,+43,+17,314,305,,,619,619,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",7,Homestead,+46,+17,317,305,,,622,622,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",8,De Pere,+47,+24,311,312,,,623,623,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",9,Wausau East,+58,+32,314,320,,,634,634,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",10,Germantown,+63,+40,311,328,,,639,639,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",11,Bay Port,+64,+30,322,318,,,640,640,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",12,Sheboygan North,+69,+36,321,324,,,645,645,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",13,Madison West,+70,+35,323,323,,,646,646,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",14,Milton,+77,+31,334,319,,,653,653,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",15,Oak Creek,+80,+37,331,325,,,656,656,0,raw/junior_event_pages/team_29417.html
29417,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D1 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",16,Waukesha West,+115,+58,345,346,,,691,691,0,raw/junior_event_pages/team_29417.html
29418,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D2 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",1,Seymour,+62,+29,321,317,,,638,638,0,raw/junior_event_pages/team_29418.html
29418,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D2 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",2,Cambridge,+77,+33,332,321,,,653,653,0,raw/junior_event_pages/team_29418.html
29418,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D2 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",3,Big Foot,+81,+28,341,316,,,657,657,0,raw/junior_event_pages/team_29418.html
29418,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D2 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",4,Lakeland,+89,+51,326,339,,,665,665,0,raw/junior_event_pages/team_29418.html
29418,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D2 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",5,Catholic Memorial,+91,+48,331,336,,,667,667,0,raw/junior_event_pages/team_29418.html
29418,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D2 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",6,University School of Milwaukee,+95,+44,339,332,,,671,671,0,raw/junior_event_pages/team_29418.html
29418,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D2 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",7,Prescott,+99,+56,331,344,,,675,675,0,raw/junior_event_pages/team_29418.html
29418,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D2 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",8,Xavier,+105,+51,342,339,,,681,681,0,raw/junior_event_pages/team_29418.html
29422,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D3 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",1,Durand-Arkansaw,+75,+43,320,331,,,651,651,0,raw/junior_event_pages/team_29422.html
29422,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D3 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",2,Chetek-Weyerhaeuser,+85,+36,337,324,,,661,661,0,raw/junior_event_pages/team_29422.html
29422,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D3 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",3,St. Mary's Springs,+89,+53,324,341,,,665,665,0,raw/junior_event_pages/team_29422.html
29422,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D3 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",4,Prentice,+102,+49,341,337,,,678,678,0,raw/junior_event_pages/team_29422.html
29422,2025 WIAA Boys Championship,University Ridge Golf Course - WIAA Boy's Championship D3 - Par 72 - 6521 Yards,"Verona, WI US","Jun 8-10, 2025",5,Cochrane-Fountain City,+113,+56,345,344,,,689,689,0,raw/junior_event_pages/team_29422.html
