tournament_id,event,course,location,dates,position,team,to_par,today,r1,r2,r3,r4,total,source_file
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",1,Japan,-32,-7,135,133,133,135,536,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",2,United States,-30,-11,139,134,134,131,538,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",3,France,-20,-1,132,138,137,141,548,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",4,Korea,-18,-6,135,139,140,136,550,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",5,Colombia,-16,-7,141,138,138,135,552,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",6,England,-14,-1,136,137,140,141,554,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",T7,New Zealand,-13,-3,145,132,139,139,555,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",T7,Canada,-13,-4,135,138,144,138,555,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",T7,Mexico,-13,-8,144,139,138,134,555,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",10,South Africa,-2,E,143,143,138,142,566,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",11,Morocco,+8,+3,143,143,145,145,576,raw/junior_event_pages/team_29433.html
29433,2025 Toyota Junior Golf World Cup,Chukyo Golf Club Ishino Course - Boys 2025 - Par 71 - 6843 Yards,"Toyota-shi, JP JP","Jun 24-27, 2025",12,Chile,+10,+6,143,142,145,148,578,raw/junior_event_pages/team_29433.html
