tournament_id,tournament_name,gender,board_type,miniboard_url,results_url
29467,The Elite Invitational Boys,JUNIOR BOYS,player,https://score.golfstat.com/miniboards/pleaderboard_29467.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29467
29468,The Elite Invitational Girls,JUNIOR GIRLS,player,https://score.golfstat.com/miniboards/pleaderboard_29468.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29468
29433,Toyota Junior - Boys,JUNIOR BOYS,team,https://score.golfstat.com/miniboards/tleaderboard_29433.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29433
29433,Toyota Junior - Boys,JUNIOR BOYS,player,https://score.golfstat.com/miniboards/pleaderboard_29433.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29433
29434,Toyota Junior - Girls,JUNIOR GIRLS,team,https://score.golfstat.com/miniboards/tleaderboard_29434.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29434
29434,Toyota Junior - Girls,JUNIOR GIRLS,player,https://score.golfstat.com/miniboards/pleaderboard_29434.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29434
29417,WIAA Division 1,HS BOYS,team,https://score.golfstat.com/miniboards/tleaderboard_29417.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29417
29417,WIAA Division 1,HS BOYS,player,https://score.golfstat.com/miniboards/pleaderboard_29417.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29417
29418,WIAA Division 2,HS BOYS,team,https://score.golfstat.com/miniboards/tleaderboard_29418.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29418
29418,WIAA Division 2,HS BOYS,player,https://score.golfstat.com/miniboards/pleaderboard_29418.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29418
29422,WIAA Division 3,HS BOYS,team,https://score.golfstat.com/miniboards/tleaderboard_29422.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29422
29422,WIAA Division 3,HS BOYS,player,https://score.golfstat.com/miniboards/pleaderboard_29422.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29422
29330,The Elite Invitational,Junior Boys,player,https://score.golfstat.com/miniboards/pleaderboard_29330.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29330
29331,The Elite Invitational,Junior Girls,player,https://score.golfstat.com/miniboards/pleaderboard_29331.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29331
29296,WIAA Division 1,HS GIRLS,team,https://score.golfstat.com/miniboards/tleaderboard_29296.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29296
29296,WIAA Division 1,HS GIRLS,player,https://score.golfstat.com/miniboards/pleaderboard_29296.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29296
29297,WIAA Division 2,HS GIRLS,team,https://score.golfstat.com/miniboards/tleaderboard_29297.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=29297
29297,WIAA Division 2,HS GIRLS,player,https://score.golfstat.com/miniboards/pleaderboard_29297.html,https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=player&tid=29297
