tournament_id,event,dates,board_type,label,position,name,score,source_file
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,T1,McKenna Nelson,-6,raw/miniboards/pleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,T1,Payton Haugen,-6,raw/miniboards/pleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,3,Abby Henriksen,+3,raw/miniboards/pleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,4,Daniella Honkamp,+5,raw/miniboards/pleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,5,Zoe Gryniewicz,+10,raw/miniboards/pleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,6,Annika Jafferis,+12,raw/miniboards/pleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,7,Ava Roesch,+13,raw/miniboards/pleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,T8,Karalyn Skinner,+14,raw/miniboards/pleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,T8,Allison Guiser,+14,raw/miniboards/pleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,10,Charlie Clinefelter,+15,raw/miniboards/pleaderboard_29296.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,1,Belle Kongshaug,+9,raw/miniboards/pleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,2,Addison Kofal,+16,raw/miniboards/pleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,3,Tara Eckes,+18,raw/miniboards/pleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,4,Aubrey Molaison,+21,raw/miniboards/pleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,5,Avery Voeltz,+30,raw/miniboards/pleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,6,Layla Thompson,+33,raw/miniboards/pleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,7,Tennysen Makepeace,+36,raw/miniboards/pleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,8,Ava Thompson,+37,raw/miniboards/pleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,9,Morgan Lewis,+39,raw/miniboards/pleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,player,Individual Leaders,10,Taylor Miller,+41,raw/miniboards/pleaderboard_29297.html
29330,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,1,Miles Russell,-7,raw/miniboards/pleaderboard_29330.html
29330,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,2,Jessy Huebner,-4,raw/miniboards/pleaderboard_29330.html
29330,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T3,Emile Lebrun,-3,raw/miniboards/pleaderboard_29330.html
29330,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T3,Jager Pain,-3,raw/miniboards/pleaderboard_29330.html
29330,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,5,Lucas Gimenez,-2,raw/miniboards/pleaderboard_29330.html
29330,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T6,Eli Walker Campbell,-1,raw/miniboards/pleaderboard_29330.html
29330,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T6,Peyton Blackard,-1,raw/miniboards/pleaderboard_29330.html
29330,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T6,Arrow Aarav Shah,-1,raw/miniboards/pleaderboard_29330.html
29330,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T9,Nicolas Bencomo,E,raw/miniboards/pleaderboard_29330.html
29330,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T9,Cameron Reed,E,raw/miniboards/pleaderboard_29330.html
29331,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T1,Clara Ding,-6,raw/miniboards/pleaderboard_29331.html
29331,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T1,Michelle Xing,-6,raw/miniboards/pleaderboard_29331.html
29331,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,3,Aphrodite Deng,-3,raw/miniboards/pleaderboard_29331.html
29331,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T4,Anna Huang,-2,raw/miniboards/pleaderboard_29331.html
29331,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T4,Nobelle Park,-2,raw/miniboards/pleaderboard_29331.html
29331,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T4,Ann-Sophie Bourgault,-2,raw/miniboards/pleaderboard_29331.html
29331,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T7,Caroline Hawkins,-1,raw/miniboards/pleaderboard_29331.html
29331,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T7,Georgia Blount,-1,raw/miniboards/pleaderboard_29331.html
29331,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,T7,Clairey Lin,-1,raw/miniboards/pleaderboard_29331.html
29331,The Elite Invitational,Nov 1 - Nov 3 2024,player,Individual Leaders,10,Bella Dovhey,+1,raw/miniboards/pleaderboard_29331.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,T1,Peyton Albers,-4,raw/miniboards/pleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,T1,Drake Card,-4,raw/miniboards/pleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,player,Individual Leaders,3,Kade Wieland,-2,raw/miniboards/pleaderboard_29417.html
