captured_on,event_name,event_dates,division,board_type,displayed_position,entity,score_to_par,official_note,source_url
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Team,T1,Japan,-22,Official champion on tiebreak,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Team,T1,Canada,-22,Official T2 after tiebreak,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Team,T1,United States,-22,Official T2 after tiebreak,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Team,4,Thailand,-21,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Team,5,South Africa,-19,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Team,6,Australia,-18,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Team,T7,France,-11,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Team,T7,Colombia,-11,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Team,9,Czech Republic,-10,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Team,10,Puerto Rico,-6,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Individual,1,Tomas Restrepo,-14,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Individual,2,Roelof Craig,-12,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Individual,T3,Setyawut Kenanan,-11,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Individual,T3,Austin Krahn,-11,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Individual,T5,Drew Woolworth,-10,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Individual,T5,Taisei Nagasaki,-10,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Individual,T5,Alexis Rouleau,-10,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Individual,T8,Chase Oberle,-9,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Individual,T8,Parin Sarasmut,-9,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Boys,2026-06-23 to 2026-06-26,Junior Boys,Individual,T8,Kotaro Ogawa,-9,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Team,1,South Korea,-31,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Team,T2,Thailand,-25,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Team,T2,Japan,-25,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Team,4,United States,-11,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Team,5,Australia,-10,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Team,6,Colombia,-8,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Team,7,Canada,-4,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Team,8,Spain,-1,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Team,9,South Africa,+3,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Individual,1,Anna Iwanaga,-18,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Individual,2,Seojin Park,-16,,https://golfstat.com/
2026-08-09,2026 Toyota Junior Golf World Cup - Girls,2026-06-23 to 2026-06-26,Junior Girls,Individual,3,Jimin Song,-15,,https://golfstat.com/
